819
7
8.643655e+02,9.614161e+02,1.366762e+02,3.209270e+01,1.824307e+01,1.575647e+00,1.513532e+00
9.686901e+02,6.551409e+02,9.832408e+01,1.859341e+01,9.542959e+00,3.227411e-01,1.031937e+00
3.080816e+02,5.579218e+02,1.001247e+03,2.304127e+01,1.381068e+01,1.144670e+00,2.522956e+00
1.009273e+03,1.648633e+02,1.015240e+03,1.407006e+01,8.603789e+00,2.578626e+00,4.507104e-01
1.001197e+03,5.077029e+02,8.370934e+02,1.994076e+01,1.111015e+01,3.859243e-01,2.470007e-01
1.568391e+02,4.418188e+02,9.708179e+02,1.237290e+01,8.256737e+00,2.040021e+00,1.399290e+00
8.422662e+02,1.017037e+03,6.999029e+02,2.314116e+01,9.794828e+00,2.314175e+00,1.462444e+00
2.402507e+01,8.742110e+02,9.705525e+02,1.916547e+01,9.651050e+00,2.232620e+00,2.314344e+00
7.099570e+02,7.925962e+02,7.773166e+02,2.397813e+01,1.460944e+01,3.309195e-01,2.196090e+00
4.102695e+02,6.856299e+02,1.790613e+02,2.271956e+01,1.230193e+01,3.011545e+00,1.674753e+00
7.316082e+02,4.118627e+01,2.978266e+02,2.636150e+01,1.249303e+01,1.331070e+00,6.481834e-01
4.980922e+01,9.942054e+01,8.509083e+02,1.250781e+01,6.943209e+00,1.759648e+00,4.931271e-01
7.267907e+02,3.316861e+02,9.939323e+02,7.926658e+00,4.437764e+00,3.103352e-01,1.263673e+00
3.603060e+01,4.589266e+02,3.991101e+02,1.910421e+01,9.272156e+00,1.517759e+00,1.374685e+00
8.007306e+02,8.317791e+02,1.954687e+02,1.313456e+01,5.836212e+00,4.826264e-01,3.063252e+00
5.234695e+02,4.620954e+02,6.681295e+02,8.299412e+00,3.980268e+00,9.690866e-01,2.911453e+00
7.419956e+02,7.894023e+02,2.887222e+02,1.754848e+01,9.306163e+00,4.112859e-01,9.678121e-01
7.109690e+02,6.852325e+02,1.700919e+02,1.480255e+01,7.426897e+00,1.079196e+00,2.709883e+00
1.292151e+02,5.253083e+02,9.957714e+02,2.197441e+01,1.184572e+01,2.083066e+00,1.760006e+00
